rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,top_rank
3.84,153270,5753,4197,48600,7.99,0
4,195470,2615,2449,38100,8.99,0
4.59,50427,1839,443,21900,9.99,1
4.12,62653,1942,1050,18200,9.99,1
4.15,70946,5511,3207,65400,11.99,1
4.45,51871,1658,422,21100,9.99,1
4.11,112335,2046,2967,16600,7.4,1
3.87,25411,1434,986,10800,7.99,0
3.75,113144,3861,2217,55000,9.99,0
4.17,14689,528,983,2654,7.99,1
3.91,10293,308,476,1918,5.99,0
4.08,26749,1780,687,16200,9.99,1
3.81,4505,161,80,2372,6.99,0
3.99,3899,256,61,3632,13.99,0
4.09,36525,3402,827,19400,8.99,1
4.3,7367,322,931,13300,4.99,1
3.89,15897,788,429,6509,9.59,0
4.04,34248,1603,626,8969,8.99,2
3.79,1765,82,13,1286,8.99,0
3.97,42524,1207,804,8045,11.84,0
3.89,24113,981,293,9396,2.99,0
4.17,35459,1478,2292,9103,12.99,1
3.69,4666,432,329,1742,11.99,0
3.95,1528,124,370,1195,6.99,0
4.02,17672,1032,1254,10500,13.99,3
4.15,20613,767,1035,7340,9.99,1
4.04,142363,8673,8659,149000,13.99,2
4.01,1080179,28176,13400,605000,12.99,0
4.26,91091,11122,30100,307000,12.99,1
4.35,248469,9579,15000,108000,7.99,1
3.75,101174,3633,1527,39900,12.99,0
4.73,28254,430,444,5026,8.99,1
4.31,83434,2439,1493,20600,9.99,1
4.06,164988,4135,6274,44100,9.99,1
4.19,105454,2356,3990,36600,9.99,1
4.25,93724,3789,2360,30600,6.49,1
4.36,5133,441,837,19500,16.99,1
4.08,35692,945,1503,26100,8.99,1
4.2,16774,479,625,2729,7.99,1
4.03,2824,118,103,573,7.99,2
4.07,23785,467,755,5784,8.99,1
3.83,4523,318,324,5647,0.99,0
3.72,15258,989,445,4937,10.99,0
4.17,29933,1421,1153,9474,4.99,1
3.75,30471,566,440,9680,9.99,0
4.11,9953,237,522,2135,8.99,1
4.17,1013084,38758,17100,382000,11.99,1
3.79,42326,2447,303,16100,8.99,0
4.23,13483,269,19,6098,9.99,1
4.11,11197,1075,1281,27800,5.99,1
4.26,185604,4253,1582,77000,9.99,1
4.2,68907,2140,3930,10500,9.99,1
3.94,31202,2417,2767,51200,16.99,0
3.99,159300,4896,1809,58500,11.99,0
4.09,264385,6322,3257,138000,9.99,1
3.74,8774,513,97,3503,12.99,0
3.96,22451,697,1565,6564,7.99,0
4.07,59812,921,1365,11500,9.99,1
4.08,23879,1348,1415,20100,12.99,1
3.33,19252,653,312,8018,5.99,0
4.13,25898,1200,1657,11100,9.99,1
3.93,28329,770,683,33000,14.99,0
4.11,22971,476,602,5519,8.99,1
4.41,56770,7157,6332,84800,9.49,1
3.95,38783,4454,1896,72300,9.99,0
4.22,39912,3093,3192,51600,10.99,1
3.81,9271,404,305,12100,7.99,0
4.12,23004,866,1584,35900,9.99,1
3.66,4176,395,409,4468,7.99,0
4.35,17499,647,258,5007,9.99,1
3.58,26006,1049,603,12300,2.99,0
3.93,4206,161,171,1016,7.99,0
3.9,66509,3261,1378,39700,7.99,0
4.02,71556,3508,3077,53900,7.99,3
4.2,82298,4736,4682,72400,3.99,1
3.99,57349,1564,957,17600,9.99,0
4.1,23975,2024,1008,18200,8.99,1
4.25,24768,411,451,4710,9.99,1
4.15,39066,2072,1179,18500,9.99,1
4.24,77423,1692,967,81000,11.99,1
3.8,14381,937,275,4698,11.99,0
4.21,34125,2050,1403,55700,12.99,1
4.12,13937,328,974,5150,7.99,1
3.5,5412,469,129,2908,11.99,0
4.17,43363,4537,5353,63300,12.99,1
4.01,8786,849,666,12100,11.99,0
4.4,38137,2678,3139,33700,9.99,1
4.1,13473,2178,271,19600,9.99,1
3.92,7633,305,250,7400,12.99,0
3.79,45187,940,523,20000,4.99,0
3.71,6942,604,213,2940,8.99,0
4.57,23772,1211,2853,32100,14.99,1
3.82,4653,471,634,6566,13.99,0
3.97,5644,401,214,3623,4.99,0
4.03,16256,352,327,4793,9.99,2
4.12,32710,1505,706,13400,9.99,1
4.1,4568,136,47,2508,9.99,1
3.86,9071,731,482,10300,15.99,0
4.58,4112220,82191,326,3110,8.99,1
4.23,1770916,89388,32100,1000000,11.99,1
4,515179,21710,6186,153000,5.99,0
4.05,588001,30800,9495,404000,9.99,1
3.92,732260,12360,4010,382000,12.99,0
4.42,926877,27537,42000,260000,7.99,1
3.63,160670,7262,2292,69800,9.99,0
4.01,223580,8883,2998,39300,9.49,0
4.1,448483,25436,9064,373000,9.99,1
3.54,60110,3872,1195,34700,11.99,0
3.85,105366,8069,1904,63200,7.99,0
3.86,205752,5711,4018,65800,6.99,0
3.96,125107,5126,1672,42600,10.99,0
3.85,95184,2989,1614,42800,11.99,0
3.93,130959,5169,3649,79000,14.99,0
4.24,111790,6002,8328,89200,5.49,1
4.17,191826,13732,8318,124000,13.99,1
4.3,72468,1983,1373,21500,8.99,1
3.99,351827,8995,3282,178000,11.99,0
4.2,800540,16474,7996,401000,2.99,1
4.24,60649,1749,677,20900,8.99,1
3.54,22236,2131,653,14200,12.99,0
3.9,119977,3756,4308,26900,9.99,0
4.21,60961,2410,3826,10400,9.99,1
3.9,6871,672,143,6290,12.99,0
3.95,8998,824,618,10700,4.99,0
3.86,40823,3543,2905,30700,12.99,0
3.84,67548,3020,667,32000,5.99,0
4.21,5366,566,18,2814,12.99,1
4.4,19057,970,270,3582,6.99,1
3.93,117816,4190,1717,43200,9.99,0
4.15,107479,7051,3629,136000,13.99,1
3.79,155693,9991,8763,161000,12.99,0
3.34,2154,232,169,5124,11.99,0
4.29,26826,1626,2602,52200,10.99,1
4.3,20668,820,1803,3431,6.99,1
3.71,4957,74,116,1454,1.99,0
3.69,2788,285,547,11400,16.99,0
4.11,122964,4813,9925,26800,7.99,1
3.79,15919,761,159,7535,9.02,0
3.36,136814,3643,652,60000,12.99,0
3.6,4857,374,292,2478,15.99,0
4.12,29945,1121,994,11900,7.99,1
3.97,19750,637,309,11300,9.99,0
3.82,6796,436,238,1399,8.99,0
3.9,66509,3261,1378,39700,7.99,0
4.54,776072,25172,24100,234000,9.99,1
4.1,357674,13302,7333,87700,7.99,1
4.18,201911,12130,8610,141000,9.99,1
4.01,696519,19855,8922,426000,11.99,0
3.96,154741,9467,7543,165000,13.99,0
3.98,348999,20252,9915,167000,2.99,0
3.69,180355,9759,4034,96900,11.99,0
3.77,325513,16576,3686,112000,9.99,0
4.03,113339,7517,3791,58100,8.49,2
4.27,72499,3493,4165,24900,9.99,1
3.98,69414,5859,4093,75200,9.99,0
4.29,72285,3117,1554,23200,9.99,1
3.79,23395,1291,1156,16500,2.99,0
4.07,111176,6695,3840,64800,12.99,1
4.17,45982,4667,1139,28100,6.99,1
3.94,36520,1292,1561,14000,9.99,0
4.04,69162,2795,657,32600,8.99,2
3.91,40847,2754,1719,32900,3.99,0
4.15,59428,2321,4679,10900,9.99,1
3.76,95026,2356,3911,22300,9.99,0
3.83,22634,1400,670,18000,11.99,0
4.01,159121,5091,1751,33400,1.99,0
3.93,124421,7367,2604,83100,8.99,0
3.97,56477,3352,1135,11100,9.99,0
3.64,63795,5160,756,30600,4.99,0
3.82,23923,1599,329,14200,9.99,0
3.98,101335,6286,3101,32800,9.99,0
3.82,190169,13093,6259,89900,11.99,0
4.21,60302,1829,985,31900,14.99,1
4.11,9391,356,79,4353,8.99,1
4.03,344582,26987,20800,114000,7.99,2
3.86,5068,271,127,2352,6.99,0
3.99,182499,8027,2877,54300,13.99,0
4.03,101214,8412,4350,34700,3.99,2
4.36,37666,1147,1223,7564,9.99,1
3.94,102016,4933,3372,41600,13.99,0
3.7,59611,2057,667,17900,13.99,0
4.22,26803,870,678,11700,13.99,1
3.95,45512,2155,1974,61000,13.99,0
3.99,28362,1115,823,5377,4.99,0
3.58,17818,1462,496,9111,13.99,0
4.04,23605,520,279,7027,4.99,2
4.07,30625,1124,1366,8971,14.99,1
4.03,28226,3044,3418,12200,12.99,2
3.63,3820,395,145,3112,10.99,0
4.3,627501,50469,30400,535000,12.91,1
4.09,1283789,35354,12000,527000,12.99,1
4.02,79750,4901,3902,69100,12.99,3
4.22,162413,5021,2149,64900,9.99,1
4.01,846380,19074,16700,545000,11.49,0
3.75,667342,11024,7822,197000,13.99,0
4.06,47768,2213,1064,19600,11.49,1
4.07,197441,12098,3650,64700,6.83,1
4.05,50766,1369,858,18400,9.99,1
4.01,161044,12290,4874,125000,14.99,0
3.75,205596,5655,2484,117000,14.49,0
4.14,164195,6974,4232,21700,5.99,1
4.02,101952,4930,2203,70500,6.99,3
4.26,209183,8738,17500,109000,7.99,1
3.71,62696,2192,719,14000,7.99,0
4.01,89929,9079,3878,30600,9.99,0
4.08,158110,7786,5878,103000,9.99,1
4.17,38893,2949,1261,44000,13.99,1
4.05,146193,4473,1448,32900,1.99,1
3.96,55203,3678,1112,29200,14.99,0
4.14,42203,1157,2252,9831,7.99,1
3.55,76374,6765,1908,26000,8.99,0
3.94,121451,5156,2660,55700,12.99,0
4.09,160457,5777,4278,115000,9.99,1
3.92,16773,916,865,3698,9.99,0
3.82,28215,1725,1367,18800,15.99,0
4.1,336950,7897,9057,146000,9.99,1
4.18,42378,1267,1700,61800,9.99,1
4.06,40320,1175,358,6439,7.99,1
4.27,71300,2151,1288,23400,9.99,1
3.97,141168,3778,1345,34300,12.99,0
4.1,97038,5194,4197,65300,6.49,1
4.09,39409,907,213,6162,10.99,1
4.08,27693,1511,1886,32700,9.45,1
3.55,20849,1828,861,6675,12.99,0
4.21,70926,2183,2254,33000,5.99,1
3.97,11160,1239,207,8300,11.99,0
3.93,47801,8138,1688,63900,8.99,0
4.29,118224,3807,1439,32000,10.49,1
3.99,117374,3426,1154,32100,12.99,0
3.3,9083,611,250,5390,13.99,0
3.87,64507,2729,713,24700,6.99,0
3.61,25638,1676,448,9095,4.99,0
4.15,13734,247,157,2392,8.99,1
4.15,8654,1184,958,21600,9.99,1
3.87,25347,1872,970,20200,11.99,0
4.3,52767,1022,427,5838,9.99,1
3.75,93426,4900,2933,23200,9.99,0
4.15,9507,1176,758,12500,14.99,1
3.93,36962,1376,1500,63700,12.99,0
3.93,11781,604,677,2984,10.99,0
3.99,21806,1987,1331,35000,13.99,0
4.06,38173,1775,3003,17500,13.99,1
4.04,19735,1913,,25500,12.99,2
4.18,49178,1310,1787,40400,9.99,1
3.98,116486,9741,3109,59700,9.99,0
3.88,8639,271,215,,5.99,0
4.09,13657,1118,336,11700,9.99,1
4.34,32997,1048,1167,6808,9.99,1
3.91,7931,489,286,,8.99,0
4.34,30303,977,1032,6709,8.99,1
3.65,4131,485,346,5214,9.99,0
3.95,54272,1742,592,44200,9.99,0
3.75,304544,6533,2568,161000,13.99,0
3.99,193543,9143,4846,24900,1.99,0
3.72,9595,1007,222,5677,6.99,0
3.78,6751,653,472,4564,12.99,0
4.09,16367,441,176,7942,9.99,1
4.13,461179,36954,31800,480000,12.99,1
4.13,53833,3111,726,15600,5.99,1
4.23,172930,12948,5454,94900,11.49,1
4,675462,39877,32900,496000,13.99,0
4,128760,3297,1090,35800,12.99,0
4.03,159906,15972,4153,134000,9.99,2
3.64,63795,5160,756,30600,4.99,0
3.61,46357,4217,3343,39800,11.99,0
4.29,39834,1181,807,9755,9.99,1
4.32,52995,1094,426,6649,9.99,1
3.98,34543,1086,896,12800,9.99,0
4.04,105518,6979,7356,97300,12.99,2
3.77,53360,3776,1246,35500,9.99,0
3.79,58098,1952,595,14000,7.49,0
3.88,43462,3550,1933,39700,2.99,0
3.75,71001,4532,6494,209000,12.99,0
3.75,69081,2226,448,16000,8.99,0
3.97,37595,1379,2624,11200,8.99,0
4.11,62965,3462,3072,25700,9.99,1
3.86,48461,1495,1899,13200,7.99,0
3.83,43341,2142,577,12400,4.99,0
