language,num_pages,genres,rating_score,num_reviews,current_readers,want_to_read,price,rating
English,184,"['Mythology', 'Fantasy', 'Fiction', 'India']",3.82,27,36,46000,3.99,0
English,343,"['Fantasy', 'Fiction', 'Young Adult', 'Plays', 'Magic', 'Adventure', 'Middle Grade']",3.49,73492,35300,48400,0,0
English,688,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Young Adult Fantasy', 'Fiction']",4.36,22041,9660,5172,10.99,1
English,512,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adult', 'Audiobook', 'Romance']",4.22,24236,9004,768000,0,1
English,304,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Crime']",3.72,4829,2178,88600,14.99,0
English,336,"['Nonfiction', 'Memoir', 'True Crime', 'Biography', 'Audiobook', 'Crime', 'Biography Memoir']",4.13,5418,1977,41700,11.99,1
English,312,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Egypt', 'Historical Mystery', 'Audiobook']",4,1675,873,25254,9.99,0
English,389,"['Young Adult', 'Romance', 'LGBT', 'Fiction', 'Contemporary', 'Queer', 'Audiobook']",3.77,85036,45700,44400,8.99,0
English,336,"['Young Adult', 'Contemporary', 'Romance', 'LGBT', 'Fiction', 'Audiobook', 'Queer']",3.9,10446,1433,77600,10.99,0
English,336,"['Science Fiction', 'Fiction', 'Audiobook', 'Fantasy', 'Adult', 'Aliens', 'Science Fiction Fantasy']",4.01,5064,1620,361000,5.99,1
English,279,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Adult', 'Audiobook']",3.72,4940,1025,520000,6.99,0
English,63,"['Nonfiction', 'Feminism', 'Essays', 'Audiobook', 'Womens', 'Parenting', 'Africa']",4.51,9911,1372,6897,7.99,1
English,980,"['Fantasy', 'Young Adult', 'Romance', 'Fae', 'New Adult', 'Fiction', 'Magic']",4.68,48557,30500,69700,8.9,1
English,458,"['Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Romance', 'Fiction', 'Audiobook', 'Magic']",4.16,10623,5889,193000,9.99,1
English,545,"['Fantasy', 'Fiction', 'Historical Fiction', 'Adult', 'Historical', 'High Fantasy', 'Audiobook']",4.17,39115,24000,6461,0,1
English,244 pages,"['Romance', 'Dark', 'Contemporary Romance', 'Contemporary', 'New Adult', 'Disability', 'Mental Illness']",4.2,1406,614,730000,4.99,
English,625,"['Fantasy', 'Fiction', 'Historical Fiction', 'Adult', 'Audiobook', 'Magic', 'Mythology']",4.4,7627,4446,196000,15.49,
